anyy;mes;dia;obser;ventkh;component;plujamm;tmax;tmin;tmitjana
1973;12;9;"TARRACO";191;"NO";10;21.22;-2.45;11.83
2011;10;24;"BCN";138;"N";6;39.77;16.68;11.55
1998;6;6;"VIC";192;"NE";0;19.26;15.06;2.1
1987;1;12;"MASNOU";36;"NE";10;29.64;13.4;8.12
1954;2;10;"STACOL";114;"S";0;30.56;1.87;14.34
1974;7;2;"BCN";151;"E";4;32.82;19.0;6.91
1970;3;16;"GIRONA";200;"SO";9;4.26;-8.86;6.56
1955;3;8;"VIC";30;"NO";5;27.31;2.16;12.57
1966;9;7;"BERGA";12;"S";7;20.97;-1.07;11.02
2008;12;25;"STACOL";193;"E";4;27.77;10.71;8.53
1954;7;8;"BCN";15;"SE";0;22.21;10.92;5.65
2006;7;15;"BCN";171;"S";8;14.92;4.29;5.31
1950;7;6;"TARRACO";56;"E";0;-8.82;-9.24;0.21
2015;9;5;"TARRACO";36;"SO";0;32.02;3.89;14.07
1951;10;21;"GIRONA";72;"O";9;27.67;15.21;6.23
2009;4;27;"BERGA";127;"NE";2;27.62;6.67;10.48
2013;7;26;"BERGA";185;"NO";3;5.9;-3.09;4.5
1952;2;11;"STACOL";106;"N";1;35.54;5.74;14.9
2011;8;1;"MASNOU";33;"N";6;32.07;8.51;11.78
1953;3;24;"TARRACO";146;"S";9;40.17;19.3;10.44
2006;10;3;"TARRACO";101;"E";9;24.25;18.15;3.05
1991;9;6;"GIRONA";174;"O";6;16.37;6.08;5.15
1977;7;27;"BERGA";71;"NE";6;4.23;-8.86;6.54
2002;9;1;"BERGA";173;"O";8;40.92;17.14;11.89
1954;5;6;"VIC";177;"SE";8;39.1;18.53;10.29
1983;12;15;"LLEIDA";173;"SE";6;27.96;1.0;13.48
1960;5;18;"STACOL";147;"E";8;23.15;16.17;3.49
1958;5;5;"TARRACO";24;"O";5;35.66;11.49;12.08
1999;1;26;"VIC";173;"SO";3;41.77;14.14;13.82
2013;1;4;"TIBIDABO";92;"NO";2;32.56;-8.49;20.53
1994;8;10;"VIC";34;"SE";4;34.16;-0.21;17.18
1958;5;21;"GIRONA";97;"NE";7;8.18;7.13;0.52
1951;1;2;"HOSPI";11;"NE";7;21.47;13.05;4.21
2008;9;9;"TARRACO";105;"N";2;40.91;10.77;15.07
2004;9;21;"STACOL";183;"NO";6;4.39;-3.22;3.8
1967;9;26;"BCN";141;"N";10;14.23;-8.29;11.26
1963;7;17;"BERGA";185;"E";8;-6.01;-6.38;0.19
1994;4;11;"BCN";18;"N";8;18.04;13.07;2.48
2013;1;7;"MASNOU";127;"E";5;23.26;17.62;2.82
1993;3;2;"HOSPI";160;"SE";10;25.66;-7.82;16.74
2018;8;6;"STACOL";185;"SE";9;38.81;17.64;10.59
1970;9;16;"HOSPI";80;"SE";7;26.28;-1.91;14.1
2010;8;6;"BCN";97;"NE";6;15.52;-2.58;9.05
1966;3;13;"HOSPI";59;"S";5;7.36;4.05;1.66
2015;8;12;"LLEIDA";56;"S";9;42.55;16.68;12.93
1994;8;22;"MASNOU";16;"SE";1;16.39;-6.93;11.66
2000;3;15;"MASNOU";121;"N";6;32.62;19.71;6.45
1958;1;2;"HOSPI";186;"N";2;32.73;-5.95;19.34
1972;5;18;"HOSPI";49;"SE";1;3.38;-8.11;5.74
1951;11;16;"LLEIDA";134;"N";9;1.37;-6.85;4.11
1959;10;17;"TARRACO";75;"NE";10;41.62;2.49;19.56
1995;11;22;"TARRACO";84;"NO";6;25.23;16.7;4.27
1957;5;19;"STACOL";128;"SE";9;36.78;6.68;15.05
2011;1;12;"VIC";100;"E";4;27.53;15.82;5.86
2000;10;5;"MASNOU";145;"S";9;44.18;14.85;14.66
1984;5;18;"LLEIDA";182;"N";3;18.36;-1.68;10.02
2008;12;18;"VIC";163;"NO";2;44.54;16.74;13.9
1950;12;6;"GIRONA";156;"NE";5;31.44;15.38;8.03
1977;8;1;"MASNOU";127;"SE";9;29.55;10.43;9.56
2008;9;8;"MASNOU";152;"NE";2;32.51;8.16;12.17
1973;12;20;"GIRONA";27;"NO";4;38.34;4.93;16.71
2002;8;13;"LLEIDA";17;"N";5;9.94;0.86;4.54
2007;3;2;"TARRACO";199;"NO";0;15.04;7.39;3.82
1997;11;26;"BCN";71;"N";3;18.92;-1.47;10.2
2000;2;11;"LLEIDA";41;"NO";1;39.46;12.2;13.63
1990;8;15;"MASNOU";61;"NE";6;40.18;1.81;19.18
1984;3;10;"HOSPI";47;"E";1;43.54;-2.35;22.95
1977;9;9;"TARRACO";115;"NO";5;29.56;9.41;10.07
1971;9;18;"GIRONA";44;"SO";4;5.98;0.57;2.71
1977;1;14;"TARRACO";196;"O";3;27.13;16.32;5.4
1951;2;5;"TIBIDABO";54;"S";10;22.48;2.08;10.2
1954;3;10;"TIBIDABO";37;"SE";6;35.87;6.66;14.6
1972;11;24;"MASNOU";73;"S";9;31.22;19.0;6.11
1967;12;11;"BERGA";117;"E";0;23.54;17.15;3.2
1966;11;18;"HOSPI";126;"E";4;30.48;14.37;8.05
1953;3;28;"BCN";155;"E";7;22.59;5.28;8.65
2014;11;10;"LLEIDA";157;"SO";1;30.98;-5.63;18.3
1956;3;18;"GIRONA";86;"NO";10;34.02;-4.84;19.43
1964;6;4;"TIBIDABO";174;"N";9;42.58;16.96;12.81
1960;3;7;"STACOL";18;"NO";4;30.41;16.05;7.18
1964;2;27;"VIC";196;"N";2;12.56;12.41;0.08
1958;9;11;"BERGA";101;"NE";9;25.85;19.51;3.17
1969;10;10;"BERGA";113;"N";4;26.16;19.17;3.49
1988;9;27;"TARRACO";91;"O";4;41.88;10.75;15.57
2011;2;22;"STACOL";152;"NO";6;36.11;-5.47;20.79
2000;4;13;"LLEIDA";10;"SO";9;44.34;-2.75;23.55
1986;3;12;"STACOL";9;"NE";0;33.74;19.35;7.2
1992;9;3;"GIRONA";109;"S";10;37.27;0.98;18.15
1955;3;12;"TARRACO";30;"NE";8;12.76;9.38;1.69
1956;5;6;"TIBIDABO";134;"NO";6;19.84;-8.52;14.18
1988;8;24;"TARRACO";38;"E";8;26.6;4.09;11.26
2002;6;7;"TIBIDABO";188;"SO";9;13.5;6.99;3.25
1952;11;13;"GIRONA";108;"NE";2;39.51;-4.92;22.21
1978;2;13;"HOSPI";47;"SO";4;41.65;-4.33;22.99
1955;5;13;"LLEIDA";159;"O";8;14.22;-6.74;10.48
1993;11;6;"STACOL";26;"NO";7;17.4;-8.41;12.9
1954;3;13;"LLEIDA";17;"SE";9;32.34;7.36;12.49
2012;5;10;"BCN";132;"O";2;44.0;15.84;14.08
1961;3;18;"TIBIDABO";194;"SE";10;27.2;7.17;10.02
1989;12;20;"GIRONA";39;"S";1;6.18;-2.4;4.29
1974;2;28;"TARRACO";133;"SE";6;31.9;1.49;15.21
2015;4;23;"MASNOU";194;"SO";8;30.75;10.41;10.17
1978;9;15;"VIC";99;"N";9;33.59;13.19;10.2
1951;7;3;"BERGA";96;"S";9;6.44;-2.49;4.46
2005;9;14;"LLEIDA";78;"N";10;12.73;-5.54;9.13
1987;10;23;"MASNOU";157;"SE";8;23.89;11.28;6.31
2012;2;30;"GIRONA";47;"SO";10;20.84;2.35;9.24
1955;4;24;"VIC";6;"S";9;38.98;8.07;15.45
1996;5;10;"BCN";62;"NO";1;28.84;15.04;6.9
2016;9;19;"TIBIDABO";170;"S";8;28.87;6.03;11.42
2018;10;23;"HOSPI";180;"E";9;24.38;-2.01;13.2
1972;4;13;"LLEIDA";4;"O";10;43.35;7.71;17.82
2014;12;12;"MASNOU";87;"S";9;6.02;4.41;0.8
1980;10;10;"LLEIDA";130;"NE";4;10.2;3.56;3.32
2007;5;4;"TARRACO";192;"SE";4;33.35;1.3;16.03
1987;6;28;"BERGA";183;"SO";6;30.83;-0.62;15.72
1979;4;10;"STACOL";93;"SO";3;31.99;14.82;8.58
1951;5;20;"BCN";101;"O";2;22.68;-6.17;14.43
2005;8;11;"TARRACO";44;"E";3;39.68;-6.32;23.0
1981;11;23;"TARRACO";151;"S";3;33.5;17.59;7.96
1997;5;14;"BERGA";96;"NE";5;12.18;-1.39;6.79
1958;12;24;"HOSPI";10;"NE";9;38.64;17.58;10.53
1950;2;27;"BCN";34;"O";2;25.63;-3.31;14.47
1962;7;11;"VIC";92;"N";10;42.09;1.96;20.07
1980;4;14;"MASNOU";86;"E";2;1.89;-3.68;2.79
2004;10;25;"MASNOU";4;"NO";2;6.22;1.6;2.31
2006;2;8;"VIC";85;"N";2;31.12;12.33;9.39
2003;6;7;"MASNOU";157;"NE";8;0.54;-2.93;1.74
1962;2;9;"TARRACO";111;"NE";4;19.47;5.86;6.8
1975;6;23;"TIBIDABO";171;"E";2;35.0;2.48;16.26
1971;10;17;"TIBIDABO";109;"NE";6;25.23;19.33;2.95
2011;8;16;"BCN";73;"NE";8;-3.28;-6.34;1.53
1995;7;6;"HOSPI";198;"SO";4;32.87;7.08;12.89
1966;11;11;"STACOL";6;"N";10;27.01;2.22;12.4
1971;6;20;"VIC";163;"SO";1;7.45;-4.38;5.92
1991;12;3;"GIRONA";117;"SO";6;33.9;17.34;8.28
1973;5;29;"BCN";82;"S";2;6.52;5.64;0.44
1958;3;5;"VIC";89;"SE";3;38.24;12.82;12.71
2004;1;26;"HOSPI";137;"SE";3;5.02;-8.25;6.63
1986;4;23;"MASNOU";100;"SE";3;22.2;14.54;3.83
1957;9;27;"GIRONA";142;"E";7;32.93;5.77;13.58
