centro;anyy;mes;dia;id_cliente;tipo;c_postal;base_fra;pIva;total_fra;portes
BCN;2021;2;14;2412;7;'08002';1499;21;1813.79;43
BCN;2020;3;21;1081;8;'08050';1304;21;1577.84;92
BCN;2020;12;16;582;6;'08003';2254;21;2727.34;5
BCN;2020;2;28;1264;1;'08050';1271;21;1537.91;42
BCN;2020;7;6;1320;4;'08001';1363;21;1649.23;20
BCN;2020;3;24;1608;1;'08002';2301;21;2784.21;92
BCN;2020;10;28;1134;7;'08003';1005;21;1216.05;21
BCN;2021;10;16;2099;6;'08002';1882;21;2277.2200000000003;90
BCN;2020;2;28;67;8;'08003';287;21;347.27;79
BCN;2020;9;9;857;8;'08002';582;21;704.22;4
BCN;2020;7;18;2024;1;'08003';1620;21;1960.2;85
BCN;2020;4;11;491;3;'08050';2131;21;2578.51;37
BCN;2021;2;28;440;6;'08003';1548;21;1873.08;50
BCN;2021;3;31;122;5;'08002';2010;21;2432.1;37
BCN;2021;6;9;728;8;'08001';517;21;625.5699999999999;7
BCN;2020;3;17;134;5;'08050';107;21;129.47;27
BCN;2021;8;8;1376;4;'08003';804;21;972.84;71
BCN;2020;6;21;1773;6;'08050';1858;21;2248.18;86
BCN;2021;12;12;628;5;'08003';1784;21;2158.64;36
BCN;2021;5;12;2499;6;'08001';882;21;1067.22;26
BCN;2021;7;1;2045;7;'08050';164;21;198.44;5
BCN;2020;10;29;599;6;'08050';1338;21;1618.98;8
BCN;2020;10;28;2324;3;'08050';1181;21;1429.01;73
BCN;2020;1;20;224;5;'08050';1359;21;1644.3899999999999;50
BCN;2020;12;21;1444;7;'08002';1852;21;2240.92;60
BCN;2021;7;22;1540;8;'08002';67;21;81.07;86
BCN;2021;8;1;320;4;'08003';1537;21;1859.77;97
BCN;2020;11;13;163;10;'08001';1112;21;1345.52;31
BCN;2020;4;17;1548;4;'08002';619;21;748.99;0
BCN;2020;6;26;1236;7;'08002';2003;21;2423.63;54
BCN;2020;12;7;1746;2;'08003';1323;21;1600.83;90
BCN;2021;8;27;2066;8;'08001';1703;21;2060.63;46
BCN;2021;3;10;1641;5;'08050';1750;21;2117.5;83
BCN;2021;10;29;135;2;'08050';228;21;275.88;85
BCN;2020;6;1;480;6;'08001';2438;21;2949.98;25
BCN;2020;8;24;2110;4;'08050';1911;21;2312.31;100
BCN;2020;2;1;1990;4;'08001';1193;21;1443.53;28
BCN;2021;2;12;1460;7;'08001';1219;21;1474.99;88
BCN;2020;9;14;799;2;'08003';921;21;1114.41;43
BCN;2020;8;26;1318;8;'08001';2479;21;2999.59;53
BCN;2020;1;9;1776;10;'08001';2029;21;2455.09;90
BCN;2021;12;5;2260;3;'08001';1682;21;2035.22;83
BCN;2021;12;21;1543;2;'08050';249;21;301.29;89
BCN;2020;1;13;1902;9;'08001';1548;21;1873.08;20
BCN;2020;11;22;2064;4;'08001';156;21;188.76;86
BCN;2020;6;5;1216;9;'08050';811;21;981.31;37
BCN;2021;4;18;805;3;'08003';1620;21;1960.2;72
BCN;2021;1;7;2219;2;'08003';2007;21;2428.4700000000003;69
BCN;2020;5;6;1305;8;'08002';378;21;457.38;51
BCN;2021;6;12;663;7;'08003';1005;21;1216.05;30
BCN;2021;9;17;315;8;'08050';1559;21;1886.3899999999999;51
BCN;2020;3;14;676;10;'08003';99;21;119.78999999999999;17
BCN;2020;4;12;813;10;'08003';976;21;1180.96;58
BCN;2020;8;19;1447;3;'08001';1550;21;1875.5;52
BCN;2020;3;13;754;7;'08002';675;21;816.75;48
BCN;2020;11;23;562;5;'08002';1820;21;2202.2;35
BCN;2020;4;21;1248;4;'08001';1875;21;2268.75;29
BCN;2020;1;5;814;2;'08002';1147;21;1387.87;36
BCN;2021;5;3;868;3;'08003';1526;21;1846.46;86
BCN;2020;3;23;1484;7;'08050';2461;21;2977.81;75
BCN;2020;8;9;1584;6;'08002';2456;21;2971.76;56
BCN;2020;3;7;58;8;'08002';2254;21;2727.34;25
BCN;2021;10;29;2344;4;'08050';1172;21;1418.12;23
BCN;2021;3;2;1181;8;'08050';2488;21;3010.48;19
BCN;2020;8;12;1347;10;'08002';705;21;853.05;92
BCN;2021;5;5;2294;7;'08003';82;21;99.22;42
BCN;2021;7;22;1738;7;'08002';494;21;597.74;87
BCN;2020;4;27;1161;2;'08003';1448;21;1752.08;97
BCN;2020;5;2;1899;8;'08050';953;21;1153.13;7
BCN;2021;12;11;1387;10;'08001';366;21;442.86;9
BCN;2021;6;6;2065;1;'08002';207;21;250.47;20
BCN;2020;7;7;1594;8;'08050';1612;21;1950.52;89
BCN;2021;4;26;1619;3;'08002';1746;21;2112.66;74
BCN;2021;11;14;1383;5;'08050';2175;21;2631.75;56
BCN;2021;10;28;1876;2;'08002';812;21;982.52;85
BCN;2020;12;21;971;6;'08050';1871;21;2263.91;71
BCN;2021;10;14;1164;6;'08002';1769;21;2140.49;11
BCN;2021;5;21;2026;10;'08050';1408;21;1703.68;21
BCN;2021;5;13;2238;8;'08003';1443;21;1746.03;29
BCN;2020;11;7;1575;4;'08001';1198;21;1449.58;75
BCN;2021;3;14;1761;8;'08003';160;21;193.6;83
BCN;2020;5;3;1015;2;'08003';1844;21;2231.24;44
BCN;2021;12;30;999;9;'08003';1034;21;1251.1399999999999;78
BCN;2021;3;21;67;4;'08003';1679;21;2031.59;4
